SET
    dbms    | table_catalog | table_schema |   table_name   |        column_name        | ordinal_position |     data_type     | character_maximum_length | constraint_type | table_schema |  table_name   |   column_name    
 postgresql | almacen       | public       | batteries      | resource_id               |                2 | integer           |                          | FOREIGN KEY     | public       | resource      | resource_id
 postgresql | almacen       | public       | batteries      | batteries_id              |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | tools          | resource_id               |                2 | integer           |                          | FOREIGN KEY     | public       | resource      | resource_id
 postgresql | almacen       | public       | tools          | tools_id                  |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | clothing       | resource_id               |                2 | integer           |                          | FOREIGN KEY     | public       | resource      | resource_id
 postgresql | almacen       | public       | clothing       | clothing_id               |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | cannedfood     | cannedfood_unitsize       |                6 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | cannedfood     | cannedfood_is_perishable  |                4 | boolean           |                          |                 |              |               | 
 postgresql | almacen       | public       | cannedfood     | cannedfood_ingrendients   |                5 | character varying |                       50 |                 |              |               | 
 postgresql | almacen       | public       | powergenerator | powergenerator_type       |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | clothing       | clothing_size             |                3 | character varying |                        5 |                 |              |               | 
 postgresql | almacen       | public       | medication     | medication_type           |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_description      |                6 | character varying |                       25 |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_name             |                2 | character varying |                       15 |                 |              |               | 
 postgresql | almacen       | public       | babyfood       | babyfood_expdate          |                7 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_city             |                4 | character varying |                       30 |                 |              |               | 
 postgresql | almacen       | public       | medication     | medication_expdate        |                5 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | ice            | ice_size                  |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | dryfood        | dryfood_type              |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_city               |                5 | character varying |                       30 |                 |              |               | 
 postgresql | almacen       | public       | company        | company_name              |                2 | character varying |                       15 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_firstname          |                2 | character varying |                       15 |                 |              |               | 
 postgresql | almacen       | public       | orders         | order_status              |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_email              |                7 | character varying |                       30 |                 |              |               | 
